NAME,S1501_C01_001E: Population 18 to 24 years,S1501_C01_002E: Population 18 to 24 years - Less than high school graduate,S1501_C01_003E: Population 18 to 24 years - High school graduate (includes equivalency),S1501_C01_004E: Population 18 to 24 years - Some college or associate's degree,S1501_C01_005E: Population 18 to 24 years - Bachelor's degree or higher,S1501_C01_006E: Population 25 years and over,S1501_C01_007E: Population 25 years and over - Less than 9th grade,"S1501_C01_008E: Population 25 years and over - 9th to 12th grade, no diploma",S1501_C01_009E: Population 25 years and over - High school graduate (includes equivalency),"S1501_C01_010E: Population 25 years and over - Some college, no degree",S1501_C01_011E: Population 25 years and over - Associate's degree,S1501_C01_012E: Population 25 years and over - Bachelor's degree,S1501_C01_013E: Population 25 years and over - Graduate or professional degree,S1501_C01_014E: Population 25 years and over - High school graduate or higher,S1501_C01_015E: Population 25 years and over - Bachelor's degree or higher,S1501_C01_059E: Population 25 years and over with earnings,S1501_C01_060E: Population 25 years and over with earnings - Less than high school graduate,S1501_C01_061E: Population 25 years and over with earnings - High school graduate (includes equivalency),S1501_C01_062E: Population 25 years and over with earnings - Some college or associate's degree,S1501_C01_063E: Population 25 years and over with earnings - Bachelor's degree,S1501_C01_064E: Population 25 years and over with earnings - Graduate or professional degree,state,county,tract,B01003_001E: Total Population,B11005_001E: Total Households,B11005_002E: Households with one or more people under 18 years,B11005_012E: Family households without people under 18 years,B11005_017E: Nonfamily households without people under 18 years,B06010_002E: No income,B06010_003E: With income,"B06010_004E: $1 to $9,999 or loss","B06010_005E: $10,000 to $14,999","B06010_006E: $15,000 to $24,999","B06010_007E: $25,000 to $34,999","B06010_008E: $35,000 to $49,999","B06010_009E: $50,000 to $64,999","B06010_010E: $65,000 to $74,999","B06010_011E: $75,000 or more",STATEFP,COUNTYFP,TRACTCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Tract & County,WF_Present,lat,long
"Census Tract 9648, Clinton County, Ohio",309,42,166,91,10,3690,48,242,1678,820,236,412,254,3400,666,38452,0,27372,40709,54850,72250,39,027,964800,5418,2119,794,820,505,467,3858,423,395,677,575,643,367,308,470,,,,,,,,,,,,,,,,,,,,
"Census Tract 9649, Clinton County, Ohio",572,51,397,124,0,3196,142,355,1377,569,346,217,190,2699,407,33472,26402,35384,30214,62500,76395,39,027,964900,5098,1981,648,723,610,438,3570,692,545,507,559,562,281,158,266,,,,,,,,,,,,,,,,,,,,
"Census Tract 9650, Clinton County, Ohio",180,60,91,8,21,2839,93,238,1028,571,513,316,80,2508,396,38079,0,34276,34764,41786,51250,39,027,965000,4042,1412,538,615,259,474,2738,353,359,531,304,523,316,103,249,,,,,,,,,,,,,,,,,,,,
"Census Tract 9651, Clinton County, Ohio",226,59,72,58,37,2879,55,148,1373,600,188,371,144,2676,515,38403,34583,35081,38529,50663,70865,39,027,965100,4022,1594,534,583,477,318,2913,389,261,409,385,589,360,218,302,,,,,,,,,,,,,,,,,,,,
"Census Tract 9501, Columbiana County, Ohio",254,60,130,59,5,3824,51,284,1745,658,353,542,191,3489,733,37197,0,31500,32428,56678,46838,39,029,950100,5142,2128,531,915,682,259,3935,501,365,1004,442,556,462,96,509,,,,,,,,,,,,,,,,,,,,
"Census Tract 9502, Columbiana County, Ohio",561,197,150,195,19,3222,76,92,1132,797,360,443,322,3054,765,31327,0,26453,26127,42156,0,39,029,950200,4732,2038,513,606,919,410,3526,593,449,818,553,417,259,109,328,,,,,,,,,,,,,,,,,,,,
"Census Tract 9503, Columbiana County, Ohio",327,53,113,135,26,3814,129,190,1715,623,433,435,289,3495,724,37903,36667,36336,32465,49415,62768,39,029,950300,5163,2289,492,870,927,383,3963,549,443,664,569,619,451,152,516,,,,,,,,,,,,,,,,,,,,
"Census Tract 9504, Columbiana County, Ohio",333,82,133,102,16,2738,81,203,1173,441,361,347,132,2454,479,29848,20521,37321,24681,32415,0,39,029,950400,4223,1479,546,609,324,358,2850,508,205,604,410,361,357,138,267,,,,,,,,,,,,,,,,,,,,
"Census Tract 9505, Columbiana County, Ohio",470,39,177,254,0,4123,55,319,1595,937,440,473,304,3749,777,35207,31023,35962,26687,0,78125,39,029,950500,5265,2475,475,873,1127,255,4439,669,628,1207,442,604,340,202,347,,,,,,,,,,,,,,,,,,,,
"Census Tract 9506, Columbiana County, Ohio",416,31,335,0,50,3463,149,178,1538,483,331,560,224,3136,784,32951,5694,25980,23901,59623,0,39,029,950600,5194,2071,681,426,964,443,3723,958,342,715,426,273,391,120,498,,,,,,,,,,,,,,,,,,,,
"Census Tract 9507, Columbiana County, Ohio",366,34,183,75,74,3962,265,487,1831,622,208,427,122,3210,549,27321,0,33951,27019,36250,0,39,029,950700,5226,2306,647,802,857,234,4218,865,504,763,563,952,355,80,136,,,,,,,,,,,,,,,,,,,,
"Census Tract 9508, Columbiana County, Ohio",430,100,121,95,114,2797,37,126,1405,483,182,438,126,2634,564,40994,42813,35784,34345,49612,77417,39,029,950800,3932,1619,367,674,578,457,2943,513,139,547,385,564,281,169,345,,,,,,,,,,,,,,,,,,,,
"Census Tract 9509, Columbiana County, Ohio",226,80,70,58,18,3080,25,178,1611,621,220,289,136,2877,425,36957,0,31695,37372,62361,50000,39,029,950900,3831,1684,342,819,523,236,3164,466,357,591,460,466,376,121,327,,,,,,,,,,,,,,,,,,,,
"Census Tract 9510, Columbiana County, Ohio",454,45,97,181,131,4244,85,321,1825,1182,409,266,156,3838,422,31040,0,23892,33057,41250,27417,39,029,951000,5645,2274,542,1163,569,447,4470,626,369,1101,585,797,467,204,321,,,,,,,,,,,,,,,,,,,,
"Census Tract 9511, Columbiana County, Ohio",152,22,103,27,0,3141,77,294,1326,841,192,243,168,2770,411,34058,20568,27986,40329,32917,39896,39,029,951100,4262,1826,515,542,769,408,3069,636,350,486,442,473,225,176,281,,,,,,,,,,,,,,,,,,,,
"Census Tract 9512, Columbiana County, Ohio",246,30,114,99,3,3255,75,331,1593,502,281,392,81,2849,473,32708,18125,30412,31731,42318,44306,39,029,951200,4535,1792,596,670,526,383,3331,760,287,590,550,537,191,95,321,,,,,,,,,,,,,,,,,,,,
"Census Tract 9513, Columbiana County, Ohio",185,0,93,92,0,2777,80,178,1368,457,488,99,107,2519,206,31955,0,40444,25250,52426,60833,39,029,951300,3826,1459,465,633,361,622,2562,333,181,571,465,402,350,48,212,,,,,,,,,,,,,,,,,,,,
"Census Tract 9514.01, Columbiana County, Ohio",159,16,139,1,3,1685,30,132,914,163,195,164,87,1523,251,45691,40515,41375,45760,51016,61185,39,029,951401,2498,893,287,436,170,173,1786,234,147,267,264,302,335,22,215,,,,,,,,,,,,,,,,,,,,
"Census Tract 9514.02, Columbiana County, Ohio",222,38,129,20,35,4063,111,333,1869,950,511,118,171,3619,289,17500,0,16164,25250,0,0,39,029,951402,4830,1024,435,339,250,1371,3164,960,524,358,430,333,330,126,103,,,,,,,,,,,,,,,,,,,,
"Census Tract 9515, Columbiana County, Ohio",338,39,183,97,19,3202,104,266,1473,547,343,313,156,2832,469,33838,0,32961,32170,35083,103393,39,029,951500,4746,1975,554,575,846,331,3354,460,297,512,731,616,397,89,252,,,,,,,,,,,,,,,,,,,,
"Census Tract 9516, Columbiana County, Ohio",528,62,189,259,18,3785,46,184,1570,705,459,503,318,3555,821,34915,0,31550,33315,43750,62524,39,029,951600,5224,2149,593,824,732,434,4141,593,482,717,605,781,517,145,301,,,,,,,,,,,,,,,,,,,,
"Census Tract 9517, Columbiana County, Ohio",380,60,123,180,17,3233,54,119,1483,729,381,274,193,3060,467,40917,24375,40053,44353,33403,71143,39,029,951700,4628,1887,506,566,815,446,3329,446,459,444,453,386,369,257,515,,,,,,,,,,,,,,,,,,,,
"Census Tract 9518, Columbiana County, Ohio",345,24,68,83,170,2021,55,427,743,467,165,153,11,1539,164,22572,35577,21182,22201,0,0,39,029,951800,3143,1260,342,510,408,312,2139,528,189,579,308,253,155,51,76,,,,,,,,,,,,,,,,,,,,
"Census Tract 9519, Columbiana County, Ohio",276,60,40,176,0,2449,37,227,1137,763,122,97,66,2185,163,31707,26645,33681,31031,47697,33611,39,029,951900,3451,1497,396,487,614,342,2475,341,219,429,617,358,281,74,156,,,,,,,,,,,,,,,,,,,,
"Census Tract 9520, Columbiana County, Ohio",139,11,47,0,81,2355,85,164,1189,374,356,74,113,2106,187,36779,0,36374,45033,35938,45673,39,029,952000,2991,1500,304,568,628,277,2262,364,209,362,322,282,378,154,191,,,,,,,,,,,,,,,,,,,,
"Census Tract 9521, Columbiana County, Ohio",101,42,37,19,3,815,35,133,403,136,42,43,23,647,66,26193,16375,25852,36538,11645,0,39,029,952100,1206,530,172,130,228,115,823,238,95,183,119,115,36,11,26,,,,,,,,,,,,,,,,,,,,
"Census Tract 9522, Columbiana County, Ohio",173,21,63,89,0,1270,24,225,620,193,139,48,21,1021,69,27167,14583,22411,31379,0,0,39,029,952200,2040,712,250,236,226,247,1257,300,164,226,290,147,89,10,31,,,,,,,,,,,,,,,,,,,,
"Census Tract 67.22, Franklin County, Ohio",211,65,36,104,6,2056,28,61,388,462,99,604,414,1967,1018,50938,0,31522,33148,55625,71974,39,049,006722,2945,1100,374,393,333,209,2132,366,222,295,217,196,246,129,461,39.0,49.0,6722.0,39049006722.0,Census Tract 67.22,G5020,S,3917375.0,9742.0,40.1018205,-83.004405,049_006722,49_006722,,49_6722,Franklin County,"Census Tract 67.22, Franklin County, Ohio",1.0,40.101516,-83.006461
"Census Tract 68.10, Franklin County, Ohio",85,9,12,60,4,1671,0,33,131,268,109,697,433,1638,1130,65446,0,41696,55714,66705,81574,39,049,006810,2387,987,338,317,332,100,1693,138,106,123,103,214,214,206,589,39.0,49.0,6810.0,39049006810.0,Census Tract 68.10,G5020,S,1693793.0,12227.0,40.0788931,-83.0153586,049_006810,49_006810,,49_6810,Franklin County,"Census Tract 68.10, Franklin County, Ohio",1.0,40.079448,-83.013319
"Census Tract 68.21, Franklin County, Ohio",286,0,130,104,52,2752,18,95,627,735,194,652,431,2639,1083,25401,0,18021,25073,31332,59417,39,049,006821,3434,1860,249,413,1198,211,2851,558,295,595,500,404,202,117,180,39.0,49.0,6821.0,39049006821.0,Census Tract 68.21,G5020,S,1496546.0,31677.0,40.069352,-83.0254867,049_006821,49_006821,,49_6821,Franklin County,"Census Tract 68.21, Franklin County, Ohio",1.0,40.06915,-83.026057
"Census Tract 68.22, Franklin County, Ohio",37,0,14,11,12,1613,1,25,228,311,82,530,436,1587,966,52167,0,35972,41667,62083,62500,39,049,006822,1945,953,167,367,419,146,1552,107,107,114,145,314,256,169,340,39.0,49.0,6822.0,39049006822.0,Census Tract 68.22,G5020,S,1113813.0,0.0,40.0732637,-83.0102244,049_006822,49_006822,,49_6822,Franklin County,"Census Tract 68.22, Franklin County, Ohio",1.0,40.073264,-83.010224
"Census Tract 69.10, Franklin County, Ohio",73,4,27,24,18,1181,6,13,100,129,42,444,447,1162,891,73906,0,31190,32321,71000,103750,39,049,006910,1726,626,273,227,126,141,1205,172,55,64,67,105,163,74,505,39.0,49.0,6910.0,39049006910.0,Census Tract 69.10,G5020,S,1778042.0,45561.0,40.0876272,-83.0262338,049_006910,49_006910,,49_6910,Franklin County,"Census Tract 69.10, Franklin County, Ohio",1.0,40.0878,-83.027558
"Census Tract 69.21, Franklin County, Ohio",258,45,74,127,12,2623,154,143,746,636,216,559,169,2326,728,32898,12537,25288,32237,43750,55625,39,049,006921,3801,1593,527,377,689,330,2697,456,239,401,564,432,359,83,163,39.0,49.0,6921.0,39049006921.0,Census Tract 69.21,G5020,S,2680192.0,109256.0,40.0820842,-82.9956644,049_006921,49_006921,,49_6921,Franklin County,"Census Tract 69.21, Franklin County, Ohio",1.0,40.07724,-82.995187
"Census Tract 69.23, Franklin County, Ohio",314,0,175,135,4,3214,274,301,795,565,260,763,256,2639,1019,38005,30513,16948,49242,51500,46250,39,049,006923,4718,1549,538,663,348,273,3372,500,327,554,408,628,367,207,381,39.0,49.0,6923.0,39049006923.0,Census Tract 69.23,G5020,S,1825728.0,0.0,40.0792486,-82.9818482,049_006923,49_006923,,49_6923,Franklin County,"Census Tract 69.23, Franklin County, Ohio",1.0,40.079249,-82.981848
"Census Tract 69.24, Franklin County, Ohio",598,114,261,157,66,2853,291,215,617,705,191,616,218,2347,834,31506,16115,26685,34018,38333,48182,39,049,006924,4227,1634,515,392,727,467,3213,465,344,658,641,548,328,111,118,39.0,49.0,6924.0,39049006924.0,Census Tract 69.24,G5020,S,1651083.0,0.0,40.0657479,-82.985599,049_006924,49_006924,,49_6924,Franklin County,"Census Tract 69.24, Franklin County, Ohio",1.0,40.065748,-82.985599
"Census Tract 69.31, Franklin County, Ohio",670,0,363,307,0,4594,155,239,1726,1213,243,829,189,4200,1018,25096,20549,22001,25665,29931,35694,39,049,006931,7568,2591,1033,723,835,624,5014,1259,503,981,692,681,333,245,320,39.0,49.0,6931.0,39049006931.0,Census Tract 69.31,G5020,S,2020634.0,1207.0,40.0817154,-82.9672126,049_006931,49_006931,,49_6931,Franklin County,"Census Tract 69.31, Franklin County, Ohio",1.0,40.082017,-82.964695
"Census Tract 69.32, Franklin County, Ohio",595,42,170,383,0,4906,566,161,1605,1251,496,579,248,4179,827,27283,26178,24175,30638,37700,46477,39,049,006932,7361,2543,936,643,964,513,5339,1151,638,934,925,716,611,151,213,39.0,49.0,6932.0,39049006932.0,Census Tract 69.32,G5020,S,2557334.0,2107.0,40.0729849,-82.9636949,049_006932,49_006932,,49_6932,Franklin County,"Census Tract 69.32, Franklin County, Ohio",1.0,40.072197,-82.963182
"Census Tract 69.33, Franklin County, Ohio",335,64,132,93,46,4000,952,331,1024,882,198,458,155,2717,613,24490,23913,24250,22458,32637,72990,39,049,006933,6720,2287,1128,265,894,633,3917,1175,489,667,888,205,282,194,17,39.0,49.0,6933.0,39049006933.0,Census Tract 69.33,G5020,S,1512731.0,0.0,40.0634418,-82.9653429,049_006933,49_006933,,49_6933,Franklin County,"Census Tract 69.33, Franklin County, Ohio",1.0,40.063442,-82.965343
"Census Tract 69.43, Franklin County, Ohio",457,54,218,69,116,3429,128,157,1262,854,334,588,106,3144,694,32583,27727,30593,31441,46150,59125,39,049,006943,4930,1991,550,840,601,439,3619,385,305,773,815,717,291,112,221,39.0,49.0,6943.0,39049006943.0,Census Tract 69.43,G5020,S,1859517.0,0.0,40.0941591,-82.9793117,049_006943,49_006943,,49_6943,Franklin County,"Census Tract 69.43, Franklin County, Ohio",1.0,40.094159,-82.979312
"Census Tract 69.44, Franklin County, Ohio",297,19,127,118,33,3752,35,490,896,635,352,847,497,3227,1344,41906,14250,31406,40044,46290,60136,39,049,006944,4777,1918,369,768,781,716,3419,358,137,486,617,786,360,136,539,39.0,49.0,6944.0,39049006944.0,Census Tract 69.44,G5020,S,2557652.0,0.0,40.1012134,-82.9627278,049_006944,49_006944,,49_6944,Franklin County,"Census Tract 69.44, Franklin County, Ohio",1.0,40.101213,-82.962727
"Census Tract 69.45, Franklin County, Ohio",396,38,161,145,52,3745,224,232,1566,886,284,419,134,3289,553,30891,0,16815,33544,42969,33388,39,049,006945,6306,2382,1034,243,1105,375,3878,808,431,476,922,770,233,35,203,39.0,49.0,6945.0,39049006945.0,Census Tract 69.45,G5020,S,1967756.0,511.0,40.0925469,-82.9580378,049_006945,49_006945,,49_6945,Franklin County,"Census Tract 69.45, Franklin County, Ohio",1.0,40.092437,-82.958051
"Census Tract 69.50, Franklin County, Ohio",109,24,0,75,10,2026,4,0,231,346,102,832,511,2022,1343,71192,0,41792,50625,80234,72031,39,049,006950,2559,1199,262,490,447,76,2111,273,94,177,130,323,190,97,827,39.0,49.0,6950.0,39049006950.0,Census Tract 69.50,G5020,S,4126506.0,258098.0,40.0775404,-83.041993,049_006950,49_006950,,49_6950,Franklin County,"Census Tract 69.50, Franklin County, Ohio",1.0,40.077273,-83.040727
"Census Tract 69.91, Franklin County, Ohio",165,30,41,64,30,3134,0,9,324,391,190,1150,1070,3125,2220,68315,0,40489,41103,63814,86835,39,049,006991,4358,1737,569,772,396,234,3137,206,153,333,318,313,489,250,1075,39.0,49.0,6991.0,39049006991.0,Census Tract 69.91,G5020,S,6997011.0,108904.0,40.1162217,-82.9625932,049_006991,49_006991,,49_6991,Franklin County,"Census Tract 69.91, Franklin County, Ohio",1.0,40.120702,-82.957917
"Census Tract 69.92, Franklin County, Ohio",349,77,69,97,106,2970,150,202,997,715,99,647,160,2618,807,36165,0,32587,37023,47573,40592,39,049,006992,4740,2038,653,253,1132,188,3220,612,181,437,374,1036,393,143,44,39.0,49.0,6992.0,39049006992.0,Census Tract 69.92,G5020,S,924140.0,0.0,40.1061497,-82.9729282,049_006992,49_006992,,49_6992,Franklin County,"Census Tract 69.92, Franklin County, Ohio",1.0,40.10615,-82.972928
"Census Tract 70.10, Franklin County, Ohio",2025,15,186,1739,85,2221,0,0,620,416,225,646,314,2221,960,41294,0,35563,43000,36569,59500,39,049,007010,4888,1187,312,475,400,459,3905,1625,354,373,304,409,347,98,395,39.0,49.0,7010.0,39049007010.0,Census Tract 70.10,G5020,S,2742582.0,111788.0,40.1217433,-82.937086,049_007010,49_007010,,49_7010,Franklin County,"Census Tract 70.10, Franklin County, Ohio",1.0,40.122903,-82.937054
"Census Tract 70.20, Franklin County, Ohio",275,56,46,81,92,5363,14,120,1093,1138,456,1631,911,5229,2542,49153,31071,47292,37002,53750,71016,39,049,007020,7735,2840,1087,932,821,418,5455,529,356,423,632,1096,870,327,1222,39.0,49.0,7020.0,39049007020.0,Census Tract 70.20,G5020,S,4432209.0,11373.0,40.1247148,-82.9196787,049_007020,49_007020,,49_7020,Franklin County,"Census Tract 70.20, Franklin County, Ohio",1.0,40.124401,-82.917981
"Census Tract 70.41, Franklin County, Ohio",367,0,46,283,38,1556,14,6,175,296,101,571,393,1536,964,48125,0,36667,44297,45208,62895,39,049,007041,2448,974,185,401,388,124,1805,291,175,233,170,240,185,78,433,39.0,49.0,7041.0,39049007041.0,Census Tract 70.41,G5020,S,3774051.0,67425.0,40.1248738,-83.0270689,049_007041,49_007041,,49_7041,Franklin County,"Census Tract 70.41, Franklin County, Ohio",1.0,40.124726,-83.024672
"Census Tract 70.43, Franklin County, Ohio",550,5,197,218,130,3575,33,15,770,642,182,1293,640,3527,1933,41651,0,27725,41581,45000,62091,39,049,007043,5815,2474,612,507,1355,363,3957,434,241,425,807,685,671,88,606,39.0,49.0,7043.0,39049007043.0,Census Tract 70.43,G5020,S,2602408.0,4220.0,40.1214012,-83.006916,049_007043,49_007043,,49_7043,Franklin County,"Census Tract 70.43, Franklin County, Ohio",1.0,40.120075,-83.006105
"Census Tract 70.44, Franklin County, Ohio",260,10,89,53,108,4762,25,157,534,767,225,1252,1802,4580,3054,58933,0,27049,53518,65808,88585,39,049,007044,6309,2757,749,705,1303,569,4506,261,202,327,414,786,792,202,1522,39.0,49.0,7044.0,39049007044.0,Census Tract 70.44,G5020,S,2210589.0,36367.0,40.1297605,-83.0048569,049_007044,49_007044,,49_7044,Franklin County,"Census Tract 70.44, Franklin County, Ohio",1.0,40.131487,-83.004931
"Census Tract 70.47, Franklin County, Ohio",369,0,164,139,66,3146,0,87,646,926,279,831,377,3059,1208,45114,0,31875,39528,64145,63281,39,049,007047,4257,1750,495,387,868,327,3305,385,176,424,345,695,472,249,559,39.0,49.0,7047.0,39049007047.0,Census Tract 70.47,G5020,S,2338342.0,18102.0,40.12286,-82.9805908,049_007047,49_007047,,49_7047,Franklin County,"Census Tract 70.47, Franklin County, Ohio",1.0,40.118937,-82.98057
"Census Tract 70.48, Franklin County, Ohio",508,50,157,186,115,4627,24,58,816,638,547,1644,900,4545,2544,52986,54722,24276,38333,66633,72446,39,049,007048,6987,2446,1136,502,808,373,4988,529,146,695,593,707,633,304,1381,39.0,49.0,7048.0,39049007048.0,Census Tract 70.48,G5020,S,2854748.0,49277.0,40.1254292,-82.9851854,049_007048,49_007048,,49_7048,Franklin County,"Census Tract 70.48, Franklin County, Ohio",1.0,40.125281,-82.987971
"Census Tract 71.01, Franklin County, Ohio",90,0,1,21,68,2404,183,34,493,436,477,487,294,2187,781,38266,0,27554,36250,42171,64902,39,049,007101,2997,1240,360,569,311,122,2434,460,55,354,443,358,340,73,351,39.0,49.0,7101.0,39049007101.0,Census Tract 71.01,G5020,S,2064928.0,9690.0,40.1022544,-82.9164744,049_007101,49_007101,,49_7101,Franklin County,"Census Tract 71.01, Franklin County, Ohio",1.0,40.103412,-82.914553
"Census Tract 71.02, Franklin County, Ohio",50,10,30,10,0,2565,21,45,514,281,79,957,668,2499,1625,71292,0,0,75288,75882,88625,39,049,007102,3255,1398,425,453,520,270,2511,367,151,242,125,226,284,269,847,39.0,49.0,7102.0,39049007102.0,Census Tract 71.02,G5020,S,2818632.0,15816.0,40.1054731,-82.8950549,049_007102,49_007102,,49_7102,Franklin County,"Census Tract 71.02, Franklin County, Ohio",1.0,40.105471,-82.894388
"Census Tract 71.03, Franklin County, Ohio",148,2,66,54,26,2815,35,54,956,567,405,547,251,2726,798,58015,0,52581,60452,55583,64907,39,049,007103,3633,1621,456,729,436,303,2693,379,122,157,243,489,565,424,314,39.0,49.0,7103.0,39049007103.0,Census Tract 71.03,G5020,S,1473052.0,5899.0,40.0597382,-82.8775834,049_007103,49_007103,,49_7103,Franklin County,"Census Tract 71.03, Franklin County, Ohio",1.0,40.059573,-82.877375
"Census Tract 71.12, Franklin County, Ohio",504,110,134,200,60,4400,220,216,1192,1086,298,1051,337,3964,1388,37785,15893,31299,33618,65134,56198,39,049,007112,6693,2284,850,585,849,571,4652,833,311,729,683,798,428,102,768,39.0,49.0,7112.0,39049007112.0,Census Tract 71.12,G5020,S,3956804.0,32802.0,40.0723986,-82.9433048,049_007112,49_007112,,49_7112,Franklin County,"Census Tract 71.12, Franklin County, Ohio",1.0,40.072549,-82.942898
"Census Tract 71.13, Franklin County, Ohio",588,78,390,104,16,3608,164,93,1205,842,312,776,216,3351,992,33549,26094,30719,30881,43538,52344,39,049,007113,6232,1887,875,461,551,729,3859,683,403,548,648,757,460,64,296,39.0,49.0,7113.0,39049007113.0,Census Tract 71.13,G5020,S,2629536.0,49532.0,40.0683461,-82.9273814,049_007113,49_007113,,49_7113,Franklin County,"Census Tract 71.13, Franklin County, Ohio",1.0,40.068009,-82.929135
"Census Tract 71.14, Franklin County, Ohio",515,0,47,363,105,3507,86,39,1030,1017,309,797,229,3382,1026,38551,0,38061,31568,51758,44219,39,049,007114,5022,2107,576,613,918,219,3875,664,271,519,541,803,350,180,547,39.0,49.0,7114.0,39049007114.0,Census Tract 71.14,G5020,S,4162873.0,74871.0,40.0992343,-82.9360591,049_007114,49_007114,,49_7114,Franklin County,"Census Tract 71.14, Franklin County, Ohio",1.0,40.100803,-82.937777
"Census Tract 71.15, Franklin County, Ohio",402,22,156,224,0,3950,134,107,1126,1203,239,711,430,3709,1141,27772,18583,23926,25156,45281,53443,39,049,007115,6231,2358,785,596,977,276,4175,529,505,849,810,730,357,79,316,39.0,49.0,7115.0,39049007115.0,Census Tract 71.15,G5020,S,1761028.0,6123.0,40.0864915,-82.9397123,049_007115,49_007115,,49_7115,Franklin County,"Census Tract 71.15, Franklin County, Ohio",1.0,40.08698,-82.940084
"Census Tract 71.20, Franklin County, Ohio",360,28,145,171,16,2983,36,74,782,721,292,751,327,2873,1078,43777,0,31944,42215,47637,55333,39,049,007120,4618,1610,668,477,465,386,3229,438,175,544,357,600,538,146,431,39.0,49.0,7120.0,39049007120.0,Census Tract 71.20,G5020,S,3374962.0,50541.0,40.0895309,-82.9205093,049_007120,49_007120,,49_7120,Franklin County,"Census Tract 71.20, Franklin County, Ohio",1.0,40.089882,-82.919038
"Census Tract 71.93, Franklin County, Ohio",353,63,107,97,86,4948,17,86,821,778,350,1713,1183,4845,2896,62477,0,27472,53406,65045,81890,39,049,007193,7030,2543,989,1125,429,555,5185,886,216,453,378,622,708,238,1684,39.0,49.0,7193.0,39049007193.0,Census Tract 71.93,G5020,S,4524776.0,30979.0,40.1151582,-82.9017847,049_007193,49_007193,,49_7193,Franklin County,"Census Tract 71.93, Franklin County, Ohio",1.0,40.117965,-82.901986
"Census Tract 71.98, Franklin County, Ohio",93,22,8,56,7,2048,40,70,209,351,124,836,418,1938,1254,52560,0,35966,51333,64063,0,39,049,007198,2937,1101,333,445,323,111,2078,247,110,193,242,342,254,74,616,39.0,49.0,7198.0,39049007198.0,Census Tract 71.98,G5020,S,1530307.0,11018.0,40.0892757,-82.9005496,049_007198,49_007198,,49_7198,Franklin County,"Census Tract 71.98, Franklin County, Ohio",1.0,40.088875,-82.900913
"Census Tract 71.99, Franklin County, Ohio",480,15,222,61,182,4805,192,83,1292,1081,365,1163,629,4530,1792,45928,0,55246,40684,58513,0,39,049,007199,7050,2841,922,833,1086,792,5113,703,687,515,398,891,1096,350,473,39.0,49.0,7199.0,39049007199.0,Census Tract 71.99,G5020,S,3524120.0,50457.0,40.0673931,-82.9168415,049_007199,49_007199,,49_7199,Franklin County,"Census Tract 71.99, Franklin County, Ohio",1.0,40.068678,-82.914028
"Census Tract 72.02, Franklin County, Ohio",328,2,134,100,92,2484,35,42,529,616,203,747,312,2407,1059,42377,0,24587,37250,58875,61000,39,049,007202,3741,1543,444,370,729,198,2798,338,135,431,573,406,416,248,251,39.0,49.0,7202.0,39049007202.0,Census Tract 72.02,G5020,S,3803141.0,192728.0,40.0691639,-82.897629,049_007202,49_007202,,49_7202,Franklin County,"Census Tract 72.02, Franklin County, Ohio",1.0,40.069386,-82.897859
"Census Tract 72.05, Franklin County, Ohio",463,30,155,84,194,4845,147,188,445,695,442,1834,1094,4510,2928,56621,0,35658,51228,61474,59315,39,049,007205,5719,3133,310,1228,1595,206,5102,125,122,329,539,1093,973,725,1196,39.0,49.0,7205.0,39049007205.0,Census Tract 72.05,G5020,S,5387345.0,36515.0,40.1024945,-82.8249149,049_007205,49_007205,,49_7205,Franklin County,"Census Tract 72.05, Franklin County, Ohio",1.0,40.102472,-82.824855
"Census Tract 72.09, Franklin County, Ohio",593,46,138,217,192,6207,0,138,717,586,474,2617,1675,6069,4292,62851,0,33093,41466,64162,82810,39,049,007209,9200,4190,1077,1149,1964,394,6553,319,211,634,849,1107,718,677,2038,39.0,49.0,7209.0,39049007209.0,Census Tract 72.09,G5020,S,5715351.0,60480.0,40.0674065,-82.8541053,049_007209,49_007209,,49_7209,Franklin County,"Census Tract 72.09, Franklin County, Ohio",1.0,40.068746,-82.852062
"Census Tract 72.11, Franklin County, Ohio",128,42,52,12,22,2838,0,18,217,232,242,1299,830,2820,2129,85667,0,0,16790,88636,152031,39,049,007211,4396,1245,713,416,116,450,2817,439,138,421,153,253,90,49,1274,39.0,49.0,7211.0,39049007211.0,Census Tract 72.11,G5020,S,17054829.0,317428.0,40.070261,-82.802113,049_007211,49_007211,,49_7211,Franklin County,"Census Tract 72.11, Franklin County, Ohio",1.0,40.066959,-82.797212
"Census Tract 72.12, Franklin County, Ohio",147,25,27,62,33,3504,97,33,492,310,163,1575,834,3374,2409,85313,0,60734,43774,103018,113088,39,049,007212,5076,1811,804,602,405,470,3440,419,77,177,243,409,288,122,1705,39.0,49.0,7212.0,39049007212.0,Census Tract 72.12,G5020,S,6861997.0,94568.0,40.0781506,-82.8264421,049_007212,49_007212,,49_7212,Franklin County,"Census Tract 72.12, Franklin County, Ohio",1.0,40.078357,-82.829544
"Census Tract 72.13, Franklin County, Ohio",263,71,77,82,33,3706,27,36,542,421,99,1220,1361,3643,2581,84954,0,35521,48500,76505,117028,39,049,007213,6005,1847,1164,486,197,502,3804,498,145,178,348,369,335,197,1734,,,,,,,,,,,,,,,,,,,,
